name,phone,website,address,city,state,rating,reviews,category,subtypes,working_hours,description,score,services,has_window_cleaning,has_deep_cleaning,has_office_cleaning,best_for,price_category,website_alive
Maid in JC,+1 201-898-2333,http://www.maidinjc.com/,"88 Brunswick St, Jersey City, NJ 07302",Jersey City,New Jersey,4.9,897.0,House cleaning service,"House cleaning service, Cleaners","{""Monday"": [""8:30AM-5PM""], ""Tuesday"": [""8:30AM-5PM""], ""Wednesday"": [""8:30AM-5PM""], ""Thursday"": [""8:30AM-5PM""], ""Friday"": [""8:30AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,12.4,"house cleaning service, cleaners",False,False,False,Popular choice,Premium,True
The Cleaning Authority - Newark,+1 302-407-0593,https://www.thecleaningauthority.com/newark,"2604 Eastburn Center Ste 104, Newark, DE 19711",Newark,Delaware,4.6,401.0,House cleaning service,House cleaning service,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,7.2299999999999995,house cleaning service,False,False,False,Popular choice,Premium,True
Value Act Cleaners,+1 973-337-1161,http://www.valueactcleaners.com/,"1299 McCarter Hwy, Newark, NJ 07104",Newark,New Jersey,4.1,422.0,Dry cleaner,"House cleaning service, Clothing alteration service, Fire damage restoration service, Dry cleaner, Laundry service, Leather cleaning service, Shoe repair shop, Tailor, Wholesaler","{""Monday"": [""7AM-7PM""], ""Tuesday"": [""7AM-7PM""], ""Wednesday"": [""7AM-7PM""], ""Thursday"": [""7AM-7PM""], ""Friday"": [""7AM-7PM""], ""Saturday"": [""7AM-7PM""], ""Sunday"": [""8AM-2PM""]}",,7.09,"house cleaning service, clothing alteration service, fire damage restoration service, dry cleaner, laundry service, leather cleaning service, shoe repair shop, tailor, wholesaler",False,False,False,Popular choice,Premium,True
Alexa's Cleaning | NJ Home & Office Cleaning Services,+1 908-906-8256,http://alexacleaning.com/,"41 Kossuth St, Newark, NJ 07105",Newark,New Jersey,5.0,250.0,Serviços de faxina,"House cleaning service, Window cleaning service","{""Monday"": [""7AM-6PM""], ""Tuesday"": [""7AM-6PM""], ""Wednesday"": [""7AM-6PM""], ""Thursday"": [""7AM-6PM""], ""Friday"": [""7AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,6.0,"house cleaning service, window cleaning service",True,False,False,Popular choice,Premium,True
Jersey Maids Cleaning Service,+1 908-487-1082,https://jerseymaidsllc.com/,"335 Centennial Ave Suite 3, Cranford, NJ 07016",Cranford,New Jersey,4.8,205.0,House cleaning service,"House cleaning service, Cleaning service, Window cleaning service","{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""8AM-2PM""], ""Sunday"": [""Closed""]}",,5.41,"house cleaning service, cleaning service, window cleaning service",True,False,False,Popular choice,Premium,True
MaidPro Newark,+1 302-766-7500,https://www.maidpro.com/newark,"19 Peddlers Vlg, Newark, DE 19702",Newark,Delaware,4.8,202.0,House cleaning service,House cleaning service,"{""Monday"": [""8:30AM-5:30PM""], ""Tuesday"": [""8:30AM-5:30PM""], ""Wednesday"": [""8:30AM-5:30PM""], ""Thursday"": [""8:30AM-5:30PM""], ""Friday"": [""8:30AM-5:30PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,5.38,house cleaning service,False,False,False,Popular choice,Premium,True
Jersey Green Cleaning,+1 201-685-0024,https://www.jerseygreencleaning.com/,"24 Beechwood Rd suite 3, Summit, NJ 07901",Summit,New Jersey,4.7,188.0,House cleaning service,"House cleaning service, Carpet cleaning service, Janitorial service","{""Monday"": [""7AM-10PM""], ""Tuesday"": [""7AM-10PM""], ""Wednesday"": [""7AM-10PM""], ""Thursday"": [""7AM-10PM""], ""Friday"": [""7AM-10PM""], ""Saturday"": [""6AM-11PM""], ""Sunday"": [""Closed""]}",,5.17,"house cleaning service, carpet cleaning service, janitorial service",False,False,False,Popular choice,Mid-range,True
Olimpic Maid Service | Jersey City & Hoboken,+1 551-273-3016,https://olimpicmaids.com/,"613 Washington Blvd #1343, Jersey City, NJ 07310",Jersey City,New Jersey,4.9,167.0,House cleaning service,"House cleaning service, Cleaners, Janitorial service","{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,5.1,"house cleaning service, cleaners, janitorial service",False,False,False,Popular choice,Mid-range,True
Shine On Cleaning Services,+1 973-755-1828,http://www.shineoncleans.com/,"26 W 12th St, Bayonne, NJ 07002",Bayonne,New Jersey,4.9,139.0,House cleaning service,"House cleaning service, Carpet cleaning service, Cleaning service, Janitorial service, Laundry service, Tile cleaning service","{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,4.82,"house cleaning service, carpet cleaning service, cleaning service, janitorial service, laundry service, tile cleaning service",False,False,False,Popular choice,Mid-range,True
Totally Cleaning Services,+1 862-772-9947,http://www.totallycleaningservicesllc.com/,"224 John St, Harrison, NJ 07029",Harrison,New Jersey,5.0,125.0,House cleaning service,"House cleaning service, Cleaners","{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""8:30AM-1PM""], ""Sunday"": [""Closed""]}",,4.75,"house cleaning service, cleaners",False,False,False,Popular choice,Mid-range,True
